partida_id,rodata,clube,cartao,atleta,num_camisa,posicao,minuto
6888,1,Sport,Amarelo,Elton Rodrigues Brandao,19,Atacante,68
6888,1,Sport,Amarelo,Adryelson,34,Zagueiro,46
6888,1,Ceara,Amarelo,Samuel Xavier,22,Zagueiro,48
6888,1,Sport,Amarelo,Rafael,41,Meio-campo,54
6888,1,Ceara,Amarelo,Fernando Sobral,88,Meio-campo,55
6888,1,Ceara,Amarelo,Fabinho,19,Meio-campo,33
6890,1,Flamengo,Amarelo,Rafinha,13,Zagueiro,72
6890,1,Atletico-MG,Amarelo,Allan Rodrigues de Souza,29,Meio-campo,72
6890,1,Flamengo,Amarelo,Pedro,21,Atacante,90+5
6890,1,Flamengo,Amarelo,Bruno Henrique,27,Meio-campo,64
6890,1,Atletico-MG,Amarelo,Gabriel Costa Franca,30,Zagueiro,38
6889,1,Bragantino,Amarelo,Ricardo Ryller,25,Meio-campo,64
6891,1,Gremio,Amarelo,Bruno Cortes,12,Zagueiro,74
6891,1,Fluminense,Amarelo,Michel Araujo,15,Atacante,73
6891,1,Fluminense,Amarelo,Yuri Oliveira Lima,5,Meio-campo,35
6891,1,Gremio,Amarelo,Luis Manuel Orejuela,17,Zagueiro,68
6891,1,Fluminense,Amarelo,Igor Juliao,21,Zagueiro,43
6896,2,Athletico-PR,Amarelo,Thiago Heleno,44,Zagueiro,45+12
6896,2,Goias,Amarelo,Victor Andrade,31,Meio-campo,90+2
6896,2,Goias,Amarelo,Daniel Bessa,10,Atacante,21
6896,2,Athletico-PR,Amarelo,Lucas Halter,33,Zagueiro,59
6896,2,Athletico-PR,Amarelo,Jonathan Cicero Moreira,2,Zagueiro,42
6896,2,Goias,Amarelo,Rafael Vaz,4,Zagueiro,89
6898,2,Bragantino,Amarelo,Fabricio Bruno,14,Zagueiro,90+2
6898,2,Bragantino,Amarelo,Matheus Jesus,11,Meio-campo,23
6898,2,Bragantino,Amarelo,Ricardo Ryller,25,Meio-campo,25
6898,2,Botafogo-RJ,Amarelo,Matheus Babi,9,Atacante,43
6897,2,Corinthians,Amarelo,Gabriel Girotto Franco,5,Meio-campo,90+3
6899,2,Coritiba,Amarelo,Yan Sasse,39,Meio-campo,87
6899,2,Coritiba,Amarelo,Rodolfo,3,Zagueiro,45+2
6899,2,Coritiba,Amarelo,Luiz Ricardo Alves,99,Atacante,38
6899,2,Coritiba,Amarelo,Nathan Silva,5,Meio-campo,68
6899,2,Coritiba,Amarelo,Matheus Galdezani,20,Meio-campo,41
6900,2,Flamengo,Vermelho,Diego Alves,1,Goleiro,83
6900,2,Flamengo,Amarelo,Rafinha,13,Zagueiro,69
6900,2,Atletico-GO,Amarelo,Edson Felipe da Cruz,5,Meio-campo,82
6901,2,Ceara,Amarelo,Leandro Carvalho,80,Meio-campo,72
6901,2,Gremio,Amarelo,Lucas Silva Borges,16,Meio-campo,73
6901,2,Ceara,Amarelo,Luiz Otavio,13,Zagueiro,72
6901,2,Ceara,Amarelo,Fernando Prass,1,Goleiro,64
6902,2,Fluminense,Amarelo,Francisco Evanilson de Lima Barbosa,99,Atacante,66
6902,2,Palmeiras,Amarelo,Gustavo Scarpa,14,Meio-campo,90+3
6902,2,Palmeiras,Amarelo,Luan Garcia Teixeira,13,Zagueiro,29
6902,2,Fluminense,Amarelo,Wellington Alves da Silva,17,Atacante,78
6902,2,Fluminense,Amarelo,Fred,9,Atacante,16
6902,2,Palmeiras,Amarelo,Gabriel Menino,25,Meio-campo,51
6903,2,Fortaleza,Amarelo,Osvaldo Filho,11,Meio-campo,58
6903,2,Sao Paulo,Amarelo,Bruno Alves,3,Zagueiro,85
6903,2,Fortaleza,Amarelo,Jackson de Souza,26,Zagueiro,27
6904,2,Internacional,Amarelo,Moises Roberto Barbosa,16,Zagueiro,78
6904,2,Santos,Amarelo,Mario Sergio Santos Costa,11,Atacante,81
6904,2,Santos,Amarelo,Lucas Verissimo,28,Zagueiro,74
6904,2,Internacional,Amarelo,Edenilson Andrade dos Santos,8,Meio-campo,56
6904,2,Santos,Amarelo,Kaio Jorge,19,Atacante,79
6905,2,Vasco,Amarelo,Gabriel Pec,17,Meio-campo,5
6905,2,Sport,Amarelo,Marquinhos,33,Meio-campo,68
6905,2,Sport,Vermelho,Ronaldo Henrique Silva,7,Atacante,90+8
6905,2,Vasco,Amarelo,Andrey,15,Meio-campo,70
6905,2,Sport,Amarelo,Hernane Vidal de Souza,9,Atacante,79
6905,2,Sport,Amarelo,Willian Farias,8,Meio-campo,29
6907,3,Coritiba,Vermelho,Rene Junior,8,Meio-campo,57
6907,3,Coritiba,Amarelo,Jonathan Francisco Lemos,2,Zagueiro,45
6907,3,Flamengo,Amarelo,Diego Ribas,10,Meio-campo,87
6907,3,Flamengo,Amarelo,Gerson Santos da Silva,8,Meio-campo,55
6907,3,Coritiba,Amarelo,Ruy Franco de Almeida Junior,89,Meio-campo,90+1
6907,3,Coritiba,Amarelo,Nathan Silva,5,Meio-campo,73
6907,3,Coritiba,Amarelo,Rene Junior,8,Meio-campo,34
6907,3,Flamengo,Amarelo,Bruno Henrique,27,Meio-campo,71
6907,3,Coritiba,Amarelo,Rodolfo,3,Zagueiro,90+1
6906,3,Gremio,Amarelo,Matheus Henrique de Souza,7,Meio-campo,81
6906,3,Corinthians,Amarelo,Leonardo Natel,18,Atacante,90+3
6906,3,Corinthians,Amarelo,Gabriel Girotto Franco,5,Meio-campo,38
6906,3,Gremio,Amarelo,Walter Kannemann,4,Zagueiro,45+3
6906,3,Corinthians,Amarelo,Carlos Gilberto do Nascimento Silva,4,Zagueiro,77
6908,3,Goias,Amarelo,Daniel Bessa,10,Meio-campo,86
6908,3,Goias,Amarelo,Juan de Dios Pintado Leines,2,Meio-campo,41
6908,3,Palmeiras,Amarelo,Lucas Rafael Araujo Lima,20,Meio-campo,90+1
6908,3,Goias,Amarelo,Luiz Gustavo,17,Zagueiro,63
6909,3,Atletico-MG,Amarelo,Hyoran,20,Meio-campo,8
6909,3,Ceara,Amarelo,Lima,45,Meio-campo,72
6909,3,Ceara,Amarelo,William,5,Meio-campo,3
6909,3,Atletico-MG,Amarelo,Claudio Rodrigues Gomes,2,Zagueiro,55
6909,3,Ceara,Amarelo,Fabinho,19,Meio-campo,76
6909,3,Ceara,Amarelo,Luiz Otavio,13,Zagueiro,25
6910,3,Bragantino,Amarelo,Ricardo Ryller,25,Meio-campo,49
6910,3,Bahia,Amarelo,Ronaldo da Silva Souza,16,Meio-campo,56
6911,3,Vasco,Amarelo,Bruno Gomes,18,Meio-campo,47
6911,3,Sao Paulo,Amarelo,Reinaldo Manoel da Silva,6,Zagueiro,69
6911,3,Sao Paulo,Amarelo,Liziero,14,Meio-campo,36
6911,3,Vasco,Amarelo,Cayo Tenorio,41,Zagueiro,66
6911,3,Sao Paulo,Amarelo,Robert Arboleda,5,Zagueiro,81
6911,3,Sao Paulo,Amarelo,Pablo Felipe Teixeira,9,Atacante,38
6911,3,Sao Paulo,Amarelo,Igor Gomes,26,Meio-campo,27
6912,3,Fluminense,Amarelo,Nino,33,Zagueiro,47
6912,3,Internacional,Amarelo,Edenilson Andrade dos Santos,8,Meio-campo,84
6912,3,Fluminense,Amarelo,Douglas Moreira,22,Meio-campo,23
6912,3,Internacional,Amarelo,Gabriel Boschilia,21,Meio-campo,56
6913,3,Atletico-GO,Amarelo,Dudu,2,Zagueiro,62
6913,3,Sport,Amarelo,Willian Farias,8,Meio-campo,48
6913,3,Atletico-GO,Vermelho,Dudu,2,Zagueiro,64
6913,3,Sport,Amarelo,Ricardinho,20,Meio-campo,66
6914,3,Fortaleza,Amarelo,Paulo Marcos de Jesus Ribeiro,25,Zagueiro,58
6914,3,Fortaleza,Amarelo,Paulo Roberto Valoura Junior,5,Meio-campo,83
6914,3,Botafogo-RJ,Amarelo,Caio Alexandre,8,Meio-campo,18
6915,3,Santos,Amarelo,Alison Lopes Ferreira,5,Meio-campo,54
6915,3,Athletico-PR,Amarelo,Richard Candido Coelho,25,Meio-campo,74
6916,4,Flamengo,Amarelo,Joao Lucas de Almeida Carvalho,13,Zagueiro,53
6916,4,Flamengo,Amarelo,Gabriel Barbosa,9,Atacante,34
6916,4,Gremio,Amarelo,Walter Kannemann,4,Zagueiro,86
6916,4,Flamengo,Amarelo,Filipe Luis,16,Zagueiro,34
6916,4,Gremio,Amarelo,Pedro Geromel,3,Zagueiro,87
6916,4,Gremio,Amarelo,Diego Souza,29,Atacante,8
6917,4,Bragantino,Amarelo,Lucas Evangelista,35,Meio-campo,90+8
6917,4,Bragantino,Amarelo,Luis Phelipe,21,Meio-campo,70
6917,4,Bragantino,Amarelo,Artur Victor Guimaraes,7,Atacante,43
6917,4,Fluminense,Amarelo,Igor Juliao,21,Zagueiro,66
6917,4,Fluminense,Amarelo,Yuri Oliveira Lima,5,Meio-campo,58
6917,4,Bragantino,Amarelo,Edimar Fraga,6,Zagueiro,76
6917,4,Bragantino,Amarelo,Matheus Jesus,11,Meio-campo,51
6917,4,Fluminense,Amarelo,Paulo Henrique Ganso,10,Meio-campo,86
6917,4,Fluminense,Amarelo,Francisco Evanilson de Lima Barbosa,99,Atacante,62
6917,4,Fluminense,Amarelo,Nene,77,Meio-campo,30
6918,4,Athletico-PR,Amarelo,Thiago Heleno,44,Zagueiro,90+5
6918,4,Athletico-PR,Amarelo,Vitor Hugo Naum dos Santos,28,Atacante,59
6918,4,Athletico-PR,Amarelo,Khellven Douglas Silva Oliveira,13,Zagueiro,24
6918,4,Athletico-PR,Amarelo,Fernando Canesin,55,Meio-campo,86
6918,4,Athletico-PR,Amarelo,Wellington Aparecido Martins,5,Meio-campo,34
6920,4,Internacional,Vermelho,William Pottker,7,Atacante,56
6920,4,Internacional,Amarelo,Matheus Jussa,25,Zagueiro,44
6920,4,Atletico-GO,Amarelo,Jean Paulo Fernandes Filho,1,Goleiro,88
6920,4,Atletico-GO,Amarelo,Eder,3,Zagueiro,22
6920,4,Internacional,Amarelo,Marcelo Lomba,12,Goleiro,79
6920,4,Internacional,Amarelo,Damian Musto,5,Meio-campo,15
6920,4,Atletico-GO,Amarelo,Everton Felipe,11,Atacante,56
6919,4,Goias,Amarelo,Jose Joaquim de Carvalho,92,Atacante,50
6919,4,Goias,Amarelo,Luiz Gustavo,17,Zagueiro,28
6919,4,Fortaleza,Amarelo,Juan Quintero Fletcher,3,Zagueiro,19
6919,4,Goias,Amarelo,Sandro,30,Meio-campo,53
6919,4,Goias,Amarelo,Rafael Vaz,4,Zagueiro,45+2
6919,4,Fortaleza,Amarelo,Bruno Ferreira Melo,30,Zagueiro,79
6921,4,Corinthians,Amarelo,Angelo Araos,21,Meio-campo,17
6921,4,Coritiba,Vermelho,Yan Sasse,39,Meio-campo,15
6921,4,Corinthians,Amarelo,Lucas Piton,6,Zagueiro,73
6921,4,Coritiba,Amarelo,Patrick de Oliveira Vieira,91,Zagueiro,28
6922,4,Botafogo-RJ,Amarelo,Danilo Barcelos,6,Zagueiro,79
6922,4,Botafogo-RJ,Amarelo,Federico Barrandeguy Martino,2,Zagueiro,76
6923,4,Sport,Amarelo,Willian Farias,8,Meio-campo,90+7
6923,4,Sport,Amarelo,Bruninho,14,Meio-campo,30
6923,4,Sport,Amarelo,Adryelson,34,Zagueiro,23
6923,4,Santos,Amarelo,Yeferson Soteldo,10,Atacante,36
6923,4,Sport,Amarelo,Iago Maidana,6,Zagueiro,36
6923,4,Sport,Amarelo,Ronaldo Henrique Silva,7,Atacante,28
6923,4,Santos,Amarelo,Lucas Braga Ribeiro,30,Atacante,73
6924,4,Ceara,Amarelo,Samuel Xavier,22,Zagueiro,45+1
6924,4,Vasco,Amarelo,Henrique Silva Milagres,37,Zagueiro,60
6924,4,Vasco,Amarelo,Ricardo Graca,36,Zagueiro,33
6924,4,Ceara,Amarelo,Leandro Carvalho,80,Atacante,61
6924,4,Ceara,Amarelo,Lima,45,Meio-campo,44
6924,4,Vasco,Amarelo,Andrey,15,Meio-campo,44
6925,4,Sao Paulo,Amarelo,Vitor Bueno,12,Meio-campo,30
6925,4,Bahia,Amarelo,Gregore,26,Meio-campo,60
6925,4,Sao Paulo,Amarelo,Gabriel Sara,42,Meio-campo,90
6925,4,Bahia,Amarelo,Jose Carlos Cracco Neto,12,Zagueiro,90+6
6926,5,Athletico-PR,Amarelo,Felipe Aguilar,23,Zagueiro,82
6926,5,Athletico-PR,Amarelo,Leo Cittadini,18,Meio-campo,45+5
6926,5,Fluminense,Amarelo,Wellington Alves da Silva,17,Atacante,51
6926,5,Athletico-PR,Amarelo,Pedro Henrique Ribeiro Goncalves,34,Zagueiro,90+4
6926,5,Athletico-PR,Amarelo,Wellington Aparecido Martins,5,Meio-campo,76
6926,5,Fluminense,Amarelo,Rodrigo Junior Paula Silva,26,Zagueiro,58
6926,5,Fluminense,Amarelo,Paulo Henrique Ganso,10,Meio-campo,32
6927,5,Internacional,Amarelo,Marcos Guilherme,23,Meio-campo,59
6927,5,Atletico-MG,Amarelo,Jair Rodrigues Junior,8,Meio-campo,30
6927,5,Atletico-MG,Amarelo,Junior Alonso,3,Zagueiro,74
6928,5,Goias,Amarelo,Daniel de Pauli Oliveira,21,Meio-campo,90+2
6928,5,Goias,Amarelo,Ratinho,56,Meio-campo,47
6928,5,Atletico-GO,Amarelo,Moacir Costa da Silva,13,Zagueiro,90
6928,5,Goias,Amarelo,Victor Andrade,31,Atacante,90+6
6928,5,Goias,Amarelo,Jefferson,13,Zagueiro,79
6928,5,Goias,Amarelo,Sandro,30,Meio-campo,30
6928,5,Atletico-GO,Amarelo,Gilvan,4,Zagueiro,54
6929,5,Flamengo,Amarelo,Rodrigo Caio,3,Zagueiro,60
6929,5,Flamengo,Amarelo,Everton Ribeiro,7,Meio-campo,37
6929,5,Botafogo-RJ,Amarelo,Federico Barrandeguy Martino,22,Zagueiro,70
