partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
6888,1,Ceara,11,5,60,487,82,18,3,0,0,4
6888,1,Sport,9,3,40,324,77,15,3,0,3,2
6890,1,Flamengo,17,2,63,525,80,12,3,0,2,9
6890,1,Atletico-MG,10,4,37,321,71,24,2,0,3,2
6889,1,Santos,10,4,54,444,81,10,0,0,4,4
6889,1,Bragantino,18,6,46,377,80,19,1,0,2,2
6891,1,Gremio,15,4,53,496,80,24,2,0,2,6
6891,1,Fluminense,10,4,47,447,80,16,3,0,1,3
6896,2,Goias,13,3,21,196,72,18,3,0,1,3
6896,2,Athletico-PR,19,4,79,728,92,16,3,0,1,3
6898,2,Botafogo-RJ,9,3,45,472,82,8,1,0,1,3
6898,2,Bragantino,23,8,55,558,88,13,3,0,1,12
6897,2,Corinthians,8,5,44,426,74,11,1,0,1,4
6897,2,Atletico-MG,25,13,56,515,81,19,0,0,3,8
6899,2,Bahia,12,5,45,420,80,16,0,0,1,3
6899,2,Coritiba,15,3,55,486,85,18,5,0,5,8
6900,2,Atletico-GO,13,7,34,284,72,15,1,0,2,11
6900,2,Flamengo,9,3,66,555,88,19,1,1,1,5
6901,2,Gremio,14,8,58,571,87,7,1,0,0,7
6901,2,Ceara,11,5,42,421,80,17,3,0,1,1
6902,2,Palmeiras,9,1,48,400,82,31,3,0,0,3
6902,2,Fluminense,10,1,52,430,82,20,3,0,3,3
6903,2,Sao Paulo,13,3,52,474,87,16,1,0,4,5
6903,2,Fortaleza,12,3,48,443,85,18,2,0,3,7
6904,2,Santos,6,1,41,379,79,14,3,0,2,4
6904,2,Internacional,25,7,59,515,83,28,2,0,2,9
6905,2,Vasco,9,6,46,371,81,29,2,0,1,5
6905,2,Sport,13,1,54,416,84,17,3,1,4,8
6907,3,Flamengo,18,7,65,541,88,16,3,0,1,5
6907,3,Coritiba,9,2,35,286,74,25,4,1,3,5
6906,3,Gremio,24,8,47,491,86,16,2,0,0,7
6906,3,Corinthians,5,2,53,571,88,14,3,0,0,5
6908,3,Goias,11,5,35,369,75,16,3,0,0,2
6908,3,Palmeiras,12,3,65,668,86,11,1,0,0,6
6909,3,Ceara,13,1,39,309,77,16,4,0,0,0
6909,3,Atletico-MG,11,6,61,475,82,14,2,0,2,4
6910,3,Bahia,10,4,42,381,76,16,1,0,2,3
6910,3,Bragantino,16,3,58,505,82,16,1,0,1,7
6911,3,Vasco,8,3,40,379,82,16,2,0,1,3
6911,3,Sao Paulo,11,5,60,559,86,15,5,0,1,4
6912,3,Fluminense,10,5,43,339,76,13,2,0,1,1
6912,3,Internacional,9,3,57,433,78,24,2,0,1,4
6913,3,Sport,15,4,69,509,82,15,2,0,2,9
6913,3,Atletico-GO,11,4,31,237,68,13,0,1,0,4
6914,3,Fortaleza,12,1,59,561,90,9,2,0,2,4
6914,3,Botafogo-RJ,15,6,41,392,87,8,1,0,1,7
6915,3,Athletico-PR,12,2,68,587,88,22,1,0,0,6
6915,3,Santos,11,6,32,290,77,9,1,0,0,2
6916,4,Gremio,10,2,39,390,80,20,3,0,3,2
6916,4,Flamengo,8,2,61,596,87,17,3,0,1,1
6917,4,Bragantino,13,3,52,438,82,19,5,0,2,6
6917,4,Fluminense,9,4,48,406,81,14,5,0,0,4
6918,4,Palmeiras,10,3,44,362,78,20,0,0,3,8
6918,4,Athletico-PR,6,0,56,459,80,23,5,0,0,5
6920,4,Atletico-GO,7,1,42,337,72,17,3,0,2,3
6920,4,Internacional,11,5,58,452,84,19,3,1,1,4
6919,4,Goias,13,4,48,379,82,16,4,0,3,2
6919,4,Fortaleza,13,3,52,410,79,15,2,0,2,6
6921,4,Corinthians,23,13,64,591,91,15,2,0,0,10
6921,4,Coritiba,9,4,36,352,82,7,1,1,3,0
6922,4,Botafogo-RJ,10,5,26,210,63,9,2,0,1,7
6922,4,Atletico-MG,31,9,74,609,87,10,0,0,2,16
6923,4,Santos,16,5,59,513,85,17,2,0,1,5
6923,4,Sport,11,5,41,354,76,23,5,0,1,4
6924,4,Ceara,22,2,58,484,86,18,3,0,1,13
6924,4,Vasco,5,4,42,375,81,14,3,0,2,2
6925,4,Sao Paulo,25,5,68,634,90,14,2,0,4,5
6925,4,Bahia,8,5,32,304,68,16,2,0,1,6
6926,5,Athletico-PR,14,5,66,610,87,21,4,0,1,7
6926,5,Fluminense,9,2,34,326,73,12,3,0,2,2
6927,5,Internacional,6,3,33,306,62,20,1,0,3,2
6927,5,Atletico-MG,11,1,67,620,81,21,2,0,1,5
6928,5,Goias,6,2,33,275,67,26,5,0,5,3
6928,5,Atletico-GO,16,4,67,541,82,19,2,0,2,11
6929,5,Flamengo,15,5,67,637,88,15,3,0,0,5
6929,5,Botafogo-RJ,7,1,33,314,78,17,3,0,2,4
6930,5,Gremio,14,4,54,474,82,17,2,0,0,4
6930,5,Vasco,10,3,46,414,80,23,5,0,1,6
6932,5,Coritiba,7,4,54,397,75,18,0,0,2,3
6932,5,Bragantino,15,2,46,319,82,17,2,1,1,10
6931,5,Palmeiras,17,5,48,369,79,21,5,0,4,5
6931,5,Santos,8,1,52,383,76,15,2,1,0,6
6933,5,Sport,10,2,55,516,86,21,2,0,1,0
6933,5,Sao Paulo,11,4,45,425,84,25,3,0,0,3
6934,5,Ceara,11,4,38,339,77,21,1,0,1,6
6934,5,Bahia,16,7,62,538,84,7,2,0,1,11
6935,5,Fortaleza,10,3,40,405,81,12,2,0,5,1
6935,5,Corinthians,21,7,60,584,85,14,0,0,0,5
6936,11,Sao Paulo,15,5,57,605,87,13,2,0,3,4
6936,11,Athletico-PR,5,3,43,464,80,16,1,0,1,1
6946,6,Internacional,7,4,53,542,87,24,1,0,2,3
6946,6,Botafogo-RJ,7,2,47,471,85,14,3,0,2,5
6947,6,Fluminense,12,3,46,452,85,19,4,0,1,2
6947,6,Vasco,9,4,54,527,84,16,1,1,1,4
6948,6,Palmeiras,11,5,51,456,82,16,2,0,4,2
6948,6,Bahia,9,1,49,429,82,15,2,0,1,8
6949,6,Fortaleza,13,6,59,571,87,22,2,0,0,3
6949,6,Bragantino,5,2,41,395,83,10,2,1,1,4
6950,6,Sao Paulo,14,5,54,442,85,16,3,0,2,7
