ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado
6888,1,2020-08-08,10:40,Sport,Ceara,4-2-3-1,4-2-3-1,D. Pollo Barioni,A. Ferreira,Sport,Adelmar da Costa Carvalho,3,2,PE,CE
6890,1,2020-08-09,16:00,Flamengo,Atletico-MG,4-2-3-1,3-5-2,D. Torrent Font,J. Sampaoli Moya,Atletico-MG, Maracanã,0,1,RJ,MG
6889,1,2020-08-09,16:02,Santos,Bragantino,4-3-3,4-2-3-1,A. Stival,F. de Oliveira Conceição,-,Estádio Urbano Caldeira,1,1,SP,SP
6891,1,2020-08-09,19:00,Gremio,Fluminense,4-2-3-1,4-3-3,Renato Gaúcho,O. Hellmann,Gremio,Arena do Grêmio,1,0,RS,RJ
6896,2,2020-08-12,09:43,Athletico-PR,Goias,4-3-3,4-4-2,D. Silvestre Júnior,N. da Silveira Júnior,Athletico-PR,Estádio Joaquim Américo Guimarães,2,1,PR,GO
6898,2,2020-08-12,19:15,Bragantino,Botafogo-RJ,4-2-3-1,4-2-3-1,F. de Oliveira Conceição,P. Autuori de Mello,-,Nabizão,1,1,SP,RJ
6897,2,2020-08-12,19:16,Atletico-MG,Corinthians,4-3-3,4-2-3-1,J. Sampaoli Moya,T. Retzalff Nunes,Atletico-MG, Mineirão,3,2,MG,SP
6899,2,2020-08-12,20:30,Bahia,Coritiba,4-1-2-1-2,4-2-3-1,R. Machado Marques,E. de Souza Barroca,Bahia,Estádio de Pituaçu,1,0,BA,PR
6900,2,2020-08-12,20:31,Atletico-GO,Flamengo,4-2-3-1,4-2-3-1,V. Carmo Mancini,D. Torrent Font,Atletico-GO,Estádio Olímpico Pedro Ludovico Teixeira,3,0,GO,RJ
6901,2,2020-08-12,21:30,Ceara,Gremio,4-2-3-1,4-2-3-1,A. Ferreira,Renato Gaúcho,-,Arena Castelão,1,1,CE,RS
6902,2,2020-08-12,21:30,Fluminense,Palmeiras,4-3-3,4-2-3-1,O. Hellmann,V. Luxemburgo da Silva,-, Maracanã,1,1,RJ,SP
6903,2,2020-08-13,19:16,Sao Paulo,Fortaleza,4-2-3-1,4-2-3-1,F. Diniz Silva,R. Ceni,Sao Paulo, Morumbi,1,0,SP,CE
6904,2,2020-08-13,19:32,Internacional,Santos,4-1-2-1-2,3-5-2,E. Coudet,A. Stival,Internacional,Estádio José Pinheiro Borda,2,0,RS,SP
6905,2,2020-08-13,20:00,Vasco,Sport,4-1-4-1,4-2-3-1,R. Menezes Hubner,D. Pollo Barioni,Vasco,Estádio Vasco da Gama,2,0,RJ,PE
6907,3,2020-08-15,12:57,Coritiba,Flamengo,4-4-2,4-2-3-1,E. de Souza Barroca,D. Torrent Font,Flamengo, Couto Pereira,0,1,PR,RJ
6906,3,2020-08-15,19:00,Gremio,Corinthians,4-2-3-1,4-2-3-1,Renato Gaúcho,T. Retzalff Nunes,-,Arena do Grêmio,0,0,RS,SP
6908,3,2020-08-15,21:30,Palmeiras,Goias,4-2-3-1,3-4-3,V. Luxemburgo da Silva,N. da Silveira Júnior,-,Allianz Parque,1,1,SP,GO
6909,3,2020-08-16,11:01,Atletico-MG,Ceara,4-2-3-1,4-2-3-1,J. Sampaoli Moya,A. Ferreira,Atletico-MG, Mineirão,2,0,MG,CE
6910,3,2020-08-16,16:00,Bahia,Bragantino,4-2-3-1,4-1-4-1,R. Machado Marques,F. de Oliveira Conceição,Bahia,Estádio de Pituaçu,2,1,BA,SP
6911,3,2020-08-16,16:00,Vasco,Sao Paulo,4-2-3-1,4-2-3-1,R. Menezes Hubner,F. Diniz Silva,Vasco,Estádio Vasco da Gama,2,1,RJ,SP
6912,3,2020-08-16,18:00,Fluminense,Internacional,4-3-3,4-1-2-1-2,O. Hellmann,E. Coudet,Fluminense, Maracanã,2,1,RJ,RS
6913,3,2020-08-16,19:00,Atletico-GO,Sport,4-2-3-1,4-2-3-1,V. Carmo Mancini,D. Pollo Barioni,-,Estádio Olímpico Pedro Ludovico Teixeira,1,1,GO,PE
6914,3,2020-08-16,19:30,Fortaleza,Botafogo-RJ,4-2-3-1,4-2-3-1,R. Ceni,P. Autuori de Mello,-,Arena Castelão,0,0,CE,RJ
6915,3,2020-08-16,19:46,Santos,Athletico-PR,4-3-3,4-3-3,A. Stival,L. Silvestre,Santos,Estádio Urbano Caldeira,3,1,SP,PR
6916,4,2020-08-19,19:15,Flamengo,Gremio,4-2-3-1,4-3-3,D. Torrent Font,Renato Gaúcho,-, Maracanã,1,1,RJ,RS
6917,4,2020-08-19,19:15,Bragantino,Fluminense,4-3-3,4-2-3-1,F. de Oliveira Conceição,O. Hellmann,Bragantino,Nabizão,2,1,SP,RJ
6918,4,2020-08-19,19:31,Athletico-PR,Palmeiras,4-3-3,4-2-3-1,D. Silvestre Júnior,V. Luxemburgo da Silva,Palmeiras,Estádio Joaquim Américo Guimarães,0,1,PR,SP
6920,4,2020-08-19,20:29,Internacional,Atletico-GO,4-3-3,4-3-3,E. Coudet,V. Carmo Mancini,Internacional,Estádio José Pinheiro Borda,3,0,RS,GO
